word,tag,sentiment-scaled
fesch,a,0.9102167182662538
Zuckerl,n,0.9071207430340557
geben,v,0.8888545918670938
Topfenpalatschinke,n,0.8844169246646026
leiwand,a,0.8802889576883384
Ersparnis,n,0.8710010319917441
Frau,n,0.8648279165526183
Bussi/Busserl,n,0.8441692466460267
Pasta,n,0.8379772961816305
Schmankerl,n,0.8317853457172342
Jahr,n,0.8235832272191742
Mehlspeise,n,0.8132094943240452
Urli-Opa,n,0.8132094943240452
neu,a,0.8046656511442478
Gustostückerl,n,0.7894736842105262
rasten,v,0.7739938080495355
Vorteilscard,n,0.7739938080495355
Gugelhupf,n,0.7502579979360164
Wiese,n,0.7502579979360164
Linzeraugen,n,0.7420020639834881
Karenz,n,0.7420020639834881
Christkind,n,0.7420020639834881
Krapfen,n,0.7420020639834881
abbusseln,v,0.7420020639834881
Gastgarten,n,0.7420020639834881
Urli-Oma,n,0.7285861713106294
Angelobung,n,0.7285861713106294
Höchstpunktezahl,n,0.7285861713106294
Palatschinke,n,0.7192982456140351
Heuriger,n,0.7192982456140351
Mann,n,0.7102272727272729
Kipferl,n,0.7100103199174406
Ehrenzeichen,n,0.7100103199174406
Kind,n,0.7009648454700164
Zuhaus,n,0.697626418988648
Schnaufpause,n,0.697626418988648
jausnen,v,0.6883384932920537
Maroni,n,0.6883384932920537
Neapolitanerschnitten,n,0.6883384932920537
Fenstertag,n,0.676986584107327
Kaffeehaus,n,0.676986584107327
Sponsion,n,0.676986584107327
Scherz(e)l,n,0.6563467492260061
Semesterferien,n,0.6563467492260061
Urlaubsbeihilfe,n,0.6563467492260061
Servus,n,0.6563467492260061
Biskotte,n,0.6491228070175438
revitalisieren,v,0.6449948400412796
Eierspeis/Eierspeise,n,0.6449948400412796
Fleischlaibchen/Fleischlaiberl,n,0.6449948400412796
Gehalt,n,0.6449948400412796
Jausenbrot,n,0.6377708978328173
flaumig,a,0.6377708978328173
Lehrlingsprämie,n,0.6253869969040247
Spezi/Spezl,n,0.6253869969040247
Kücken,n,0.6253869969040247
aufrecht,a,0.6253869969040247
Weckerl,n,0.6253869969040247
maturieren,v,0.6253869969040247
Haubenrestaurant,n,0.6253869969040247
heute,r,0.6175092825096098
Ruhegenuss,n,0.6130030959752322
Gusto/Gust/Glust,n,0.6130030959752322
Vorrang,n,0.6130030959752322
Gespritzter/Spritzer,n,0.6130030959752322
erst,a,0.611263670875531
Studienbeihilfe,n,0.6068111455108358
Ribisel,n,0.6068111455108358
Käsekrainer,n,0.5944272445820433
Griller,n,0.5944272445820433
Striezel,n,0.5944272445820433
Brettljause,n,0.5944272445820433
Weiterbildungsgeld,n,0.5944272445820433
Mohnnudel,n,0.5892672858617132
Karenzurlaubsgeld,n,0.5799793601651186
Paradeiser,n,0.5799793601651186
Schnapsen,v,0.5799793601651186
Schnapsen,n,0.5799793601651186
Schwarzbeere,n,0.5799793601651186
Christkindlmarkt,n,0.5799793601651186
Gebäck,n,0.5768833849329205
abendessen,v,0.5768833849329205
ÖAMTC,n,0.5624355005159959
Ringelspiel,n,0.5624355005159959
Hochschaubahn,n,0.5624355005159959
Vogerlsalat,n,0.5624355005159959
Wien,n,0.5606836627830859
Karenzgeld,n,0.5603715170278637
Matura,n,0.5479876160990712
einbringen,v,0.5479876160990712
Bauernkrapfen,n,0.5479876160990712
Rettung,n,0.5314757481940144
Schullandwoche,n,0.5314757481940144
Sozialtelefon,n,0.5314757481940144
Eislaufplatz,n,0.5314757481940144
Handschlagqualität,n,0.5314757481940144
Jausenbrettl,n,0.5314757481940144
zerkugeln,v,0.5314757481940144
Verlängerter,n,0.5159958720330237
Oberskren,n,0.5159958720330237
Haubenkoch,n,0.5159958720330237
Frittate,n,0.5159958720330237
Hupfburg,n,0.5159958720330237
Golatsche,n,0.5159958720330237
Ermäßigungsausweis,n,0.5159958720330237
Team,n,0.5159958720330237
Gewalt,n,0.5149345761582311
Schanigarten,n,0.501547987616099
Kornspitz,n,0.500515995872033
befürsorgen,v,0.500515995872033
Rodel,n,0.500515995872033
Schutzweg,n,0.500515995872033
Anbot,n,0.48606811145510836
treuhändig,a,0.48606811145510836
Stephanitag,n,0.48400412796697617
Haubenlokal,n,0.48400412796697617
radeln,v,0.48400412796697617
Marillenschnaps,n,0.48400412796697617
Vorzug,n,0.48400412796697617
schnurspringen,v,0.48400412796697617
Schlagobershaube,n,0.48400412796697617
Weihnachtsremuneration,n,0.4695562435500516
Lokalaugenschein,n,0.4695562435500516
Straßenerhalter,n,0.4695562435500516
Schnackseln,v,0.4551083591331269
Schnackseln,n,0.4551083591331269
Wiener,a,0.4511299670351905
Most,n,0.4427244582043343
Reifeprüfungszeugnis,n,0.43756449948400405
Melange,n,0.43756449948400405
Jause,n,0.43756449948400405
Mag.,n,0.43756449948400405
strapazfähig,a,0.41898864809081526
Schmäh,n,0.41898864809081526
Springinkerl,n,0.41898864809081526
Weinkost,n,0.41898864809081526
Sanktus,n,0.41898864809081526
Schneckerl,n,0.41898864809081526
Feinspitz,n,0.41898864809081526
gustiös,a,0.41898864809081526
oft,r,0.41501520308464934
Zwickeltag,n,0.41279669762641896
Häupt(e)lsalat,n,0.4066047471620226
Mehrkindzuschlag,n,0.4066047471620226
Michael,n,0.40325735757893133
groß,a,0.4030870294779183
Stützlehrer,n,0.3942208462332301
finden,v,0.3917323186042912
Semmel/Kaisersemmel,n,0.3869969040247678
gut,a,0.38340483642551954
wenig,n,0.3790603541634435
Powidltascherl/Powidltatschkerl,n,0.3756449948400412
Halbpreispass,n,0.3756449948400412
Wortspende,n,0.3756449948400412
Eiskasten,n,0.3756449948400412
ablösefrei,a,0.3756449948400412
Erdapfel,n,0.3642930856553147
Du-Wort,n,0.3642930856553147
Projekt,n,0.3593781611110449
freuen,v,0.35540557426602715
wuzeln,v,0.3550051599587203
sich ausgehen,v,0.3550051599587203
wichtig,a,0.35124183317664137
Soldat,n,0.34613273393709315
Stockerlplatz,n,0.3436532507739937
Grillage,n,0.3436532507739937
angeloben,v,0.3436532507739937
Semmelkren,n,0.3436532507739937
präsentieren,v,0.3408324804531768
Geschlecht,n,0.33572338121362855
Gehschule,n,0.33436532507739936
Wohnbeihilfe,n,0.33436532507739936
Bürgermeister,n,0.3317299682252554
Beziehung,n,0.3306142819740804
Montag,n,0.3292866153351819
Unterschied,n,0.32342331218983916
Ulli,n,0.3222867997953087
ÖH,n,0.3219814241486068
Notstandshilfe,n,0.3219814241486068
Rathaus,n,0.32020492925061583
Zivildiener,n,0.31269349845201233
zutzeln,v,0.31269349845201233
Gleichenfeier,n,0.31269349845201233
anrösten,v,0.31269349845201233
Seehöhe,n,0.31269349845201233
Staatsmeister,n,0.31269349845201233
eben,r,0.31054978043294584
Butterbrot,n,0.3034055727554179
Sima,n,0.3026046067429101
Ludwig,n,0.2942771245641385
alt,a,0.29219525401944574
Job,n,0.29219525401944574
Salettl,n,0.2899896800825593
Freunderl,n,0.2899896800825593
Backhendl,n,0.2899896800825593
außertourlich,a,0.2899896800825593
Syrien,n,0.2893591795689583
feiern,v,0.2851954384795725
stark,r,0.2819770555403492
betonen,v,0.2819770555403492
Bildungsteilzeit,n,0.28173374613003094
Ezzes,n,0.28173374613003094
neu,r,0.2810316973901868
genau,r,0.27932172226255214
Kultur,n,0.2738407276059456
Mascherl,n,0.27347781217750256
Hausverstand,n,0.27347781217750256
Fisole,n,0.27347781217750256
gelten,v,0.2734584191172095
gemeinsam,r,0.2717588570612527
Feminismus,n,0.26740396172749886
Eltern,n,0.26551324542717397
Ederer,n,0.265322091182806
Wohnbaustadtrat,n,0.25926763379309525
Vorlass,n,0.25799793601651183
Bewerb,n,0.25799793601651183
wichtig,r,0.2571857632484023
gemeinsam,a,0.25415853455354703
leider,r,0.2537762260648109
Täter,n,0.25302202215901654
Bereich,n,0.25302202215901654
Gesellschaft,n,0.25188550976448604
laden,v,0.25113130585869164
Mailath-Pokorny,n,0.25094015161432365
Stadträtin,n,0.25094015161432365
Plan,n,0.24999479346416117
Pouvoir,n,0.24974200206398345
zeigen,v,0.24923017648668913
Vater,n,0.2469675647693059
Problem,n,0.24695715169762827
Opfer,n,0.24563989813040737
Buch,n,0.24488569422461293
Urlaubsabgeltung,n,0.24251805985552113
zumindest,r,0.24147615704102154
gestern,r,0.24033964464649107
Renate,n,0.24033964464649107
Nettig,r,0.23864008259053424
israelisch,a,0.23655821204584127
Anwert,n,0.23632610939112483
schätzomativ,a,0.23632610939112483
Präsident,n,0.2344763415011484
wählen,v,0.23314867486224994
hoch,a,0.23295752061788189
Häupl,n,0.23293669447452675
verdienen,v,0.23012144616739466
gelingen,v,0.2293672422616001
modern,a,0.2284218841114377
gewinnen,v,0.22823072986706971
Bezirk,n,0.22823072986706971
Bartwisch,n,0.22600619195046434
amtswegig,a,0.22600619195046434
Gleitpension,n,0.22600619195046434
Dirndlstrauch,n,0.22600619195046434
ablösen,v,0.22600619195046434
Projektwoche,n,0.22600619195046434
natürlich,r,0.2257665508336408
Gesetz,n,0.22501234692784636
Otto,n,0.22425814302205188
immer,r,0.22404616263432858
Spitzenkandidat,n,0.22009440193266616
Kollektivvertrag,n,0.21878224974200203
gsi,v,0.21878224974200203
gaberln,v,0.21878224974200203
Stornoversicherung,n,0.21878224974200203
Wagner,n,0.2149853026931178
;),n,0.2149853026931178
Andreas,n,0.21441183996001387
Barablöse,n,0.21259029927760578
Krenwurzen,n,0.21259029927760578
USA,n,0.210630407359364
Richtung,n,0.20760317866450873
fast,r,0.20741202442014067
Art,n,0.20646666626997814
Schi,n,0.20639834881320948
Brigitte,n,0.20533015387544776
Oktober,n,0.20457594996965334
Angst,n,0.20457594996965334
Person,n,0.20324828333075487
kommend,a,0.20249407942496042
Unternehmen,n,0.20249407942496042
relativ,r,0.20154872127479795
Geburtstag,n,0.20154872127479795
Städtebund,n,0.20020639834881318
sichern,r,0.1988933879970011
sollen,v,0.1977464625307929
Thema,n,0.1956750050577776
ziemlich,r,0.1941665972461888
stark,a,0.1941665972461888
Wunderwuzi/Wunderwuzzi,n,0.1940144478844169
Topfen,n,0.1940144478844169
vollrechtsfähig,a,0.1940144478844169
Alpabfahrt,n,0.1940144478844169
resch,a,0.1940144478844169
Stadt,n,0.19340198026871672
Unterstützung,n,0.1920847267014959
meist,r,0.190002856156803
Israel,n,0.1899924430851252
Natürlich,r,0.18905749800664057
Umweltstadträtin,n,0.18905749800664057
Samstag,n,0.18905749800664057
Macht,n,0.18905749800664057
Attentäter,n,0.18811213985647812
planen,v,0.18811213985647812
halt,r,0.18734752287900605
kaufen,v,0.18697562746194768
gratulieren,v,0.1839483987670923
körperlich,a,0.1839483987670923
Walter,n,0.18262073212819377
Waffe,n,0.1818665282223994
eröffnen,v,0.1818665282223994
Ohrwaschel,n,0.18163054695562436
Offert,n,0.18163054695562436
of,n,0.18073001582786896
einfach,r,0.18052844851182326
stattfinden,v,0.17978465767770654
Erfolg,n,0.17864814528317605
Ried,n,0.17864814528317605
Mittwoch,n,0.17845699103880797
mehr,r,0.17673660283949616
Causa,n,0.17647058823529413
Kracherl,n,0.17647058823529413
Linie,n,0.17240253364909736
Freund,n,0.17145717549893488
verändern,v,0.17051181734877244
Vorsitzende,n,0.16937530495424197
Situation,n,0.1682387925597115
interessant,r,0.16634807625938666
ebenso,r,0.16615692201501867
Rolle,n,0.1652115638648562
Grete,n,0.1652115638648562
Auto,n,0.16426620571469375
Oxonitsch,n,0.16218433517000086
Schritt,n,0.16218433517000086
Abkomme,n,0.16123897701983836
Vermögen,n,0.16123897701983836
bestandsfrei,a,0.1609907120743034
hintanhalten,v,0.1609907120743034
Gleichenbaum,n,0.1609907120743034
richten,v,0.16010246462530797
treten,v,0.158020594080615
besetzen,v,0.15707523593045258
Entwicklung,n,0.15707523593045258
Ziel,n,0.15688408168608456
ajourieren,v,0.15686274509803919
Stöckl,n,0.15686274509803919
Binkel,n,0.15686274509803919
Gemeindewohnung,n,0.15686274509803919
Rahmen,n,0.1549933653857597
the,n,0.15480221114139167
Europa,n,0.15441990265265562
Bildung,n,0.1538568529912292
beantworten,v,0.15291149484106678
Bewegung,n,0.15291149484106678
entscheiden,v,0.15272034059669873
heuer,r,0.1517749824465363
Uhr,n,0.1517749824465363
Tatsachengeständnis,n,0.15170278637770895
Video,n,0.1508296242963739
Motto,n,0.1508296242963739
